,MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities,PARTY SYMBOL,MARGIN,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),MARGIN/Voters,
256,Vanga Geethaviswanatham,Elected,5/23/2019,In office,1,Andhra Pradesh,Kakinada,Yuvajana Sramika Rythu Congress Party,Female,Post Graduate,Information Not Available,57,29,0,79,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,-0.74,2.45,1,2019-2020,26-09-2019,2.5,2,2017-18,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,202528594,34416887,Ceiling Fan,25738,7,1623,1563930,964,20,15,13,1236814,79.08,0.02080991968,
328,Mulayam Singh Yadav,Elected,5/23/2019,In office,7,Uttar Pradesh,Mainpuri,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",80,1,0,0,0.67,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,2,2019-20,,,1,205604593,22055657,Bicycle,94389,5,2179,1723236,791,16,12,10,978261,56.77,0.09648652047,
195,Ravindra Shyamnarayan,Elected,5/23/2019,In office,1,Uttar Pradesh,Gorakhpur,Bharatiya Janata Party,Male,12th Pass,Information Not Available,50,20,4,97,0.83,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,2017-18,,,0,208494688,17711043,Lotus,301664,5,2157,1981197,918,31,10,8,1184925,59.81,0.2545848893,
489,Thalikkottai Rajuthevar Baalu,Elected,5/23/2019,In office,6,Tamil Nadu,Sriperumbudur,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., L.C.E.; Educated at New College, University of Madras, Chennai and Central Polytechnic, Chennai, Tamil Nadu",78,26,0,32,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,1,,,,0,208806446,0,Rising Sun,507955,6,2360,2253448,955,42,19,17,1407153,62.44,0.3609806467,
57,D.V. Sadananda Gowda,Elected,5/23/2019,In office,4,Karnataka,Bangalore North,Bharatiya Janata Party,Male,Graduate Professional,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",66,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,1,2019-20,,,0,209384539,104302653,Lotus,147518,8,2656,2849250,1073,38,31,29,1560324,54.76,0.09454318462,
141,Lalubhai Babubhai Patel,Elected,5/23/2019,In office,3,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,8th Pass,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",64,3,0,1,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,3,0,1,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,11/3/2020,2.5,1,1997-98,,,0,213993750,9969514,Lotus,9942,2,152,121740,801,7,4,1,87473,71.85,0.1136579287,
120,Sunil Kumar Singh,Elected,5/23/2019,In office,2,Jharkhand,Chatra,Bharatiya Janata Party,Male,Post Graduate,"M.B.A., M.A. (Sociology)",58,16,4,92,0.76,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,2.5,2.45,2.45,1,2019-2020,1/10/2019,2.5,1,,,,0,226209137,1889051,Lotus,377871,5,1899,1425218,751,31,26,25,925956,64.97,0.4080874253,
233,Raosaheb Patil Danve,Elected,5/23/2019,In office,5,Maharashtra,Jalna,Bharatiya Janata Party,Male,Graduate,"Educated at J.E.S., Jalna, Maharashtra",64,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,2018-19,,,2,229557992,2400000,Lotus,332815,6,2058,1867220,907,37,20,18,1209096,64.75,0.2752593673,
94,Subhash Baheria,Elected,5/23/2019,In office,3,Rajasthan,Bhilwara,Bharatiya Janata Party,Male,Graduate,F.C.A. (Chartered Accountant),63,16,0,5,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,2,2018-19,,,0,232703276,1827380,Lotus,612000,8,2219,1997328,900,7,4,2,1311011,65.64,0.4668153051,
193,Kirti Vardhan Singh,Elected,5/23/2019,In office,4,Uttar Pradesh,Gonda,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Geology) 
Educated at Lucknow University, Lucknow, Uttar Pradesh",53,3,0,14,0.85,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,2,2018-19,,,0,232735285,23201603,Lotus,166360,5,2118,1770248,836,16,15,13,924123,52.2,0.1800193264,
508,S. Gnanathiraviam,Elected,5/23/2019,In office,1,Tamil Nadu,Tirunelveli,Dravida Munnetra Kazhagam,Male,10th Pass,Information Not Available,55,7,0,30,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received.","Audit Certificate Pending, Eligible MPR not Received.",4,232759237,46149049,Rising Sun,185720,6,1783,1547800,868,41,26,24,1040390,67.22,0.1785099818,
205,Jai Prakash,Elected,5/23/2019,In office,5,Uttar Pradesh,Hardoi,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B., Educated at Lucknow University (Uttar Pradesh)",61,1,0,33,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,,,,0,234032624,2615368,Lotus,132474,5,2118,1807119,853,14,11,9,1057847,58.54,0.12522983,
336,Sumalatha Ambareesh,Elected,5/23/2019,In office,1,Karnataka,Mandya,Independent,Female,10th Pass,Information Not Available,56,6,0,9,0.68,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,-2.32,2.16,1,2019-2020,6/11/2019,2.5,2,2017-18,,,0,234154139,14232295,Man Blowing Turha,125876,8,2046,1712004,837,27,22,20,1379622,80.59,0.09123948444,
33,M.K. Vishnu Prasad,Elected,5/23/2019,In office,1,Tamil Nadu,Arani,Indian National Congress,Male,Graduate Professional,Information Not Available,47,16,0,40,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,11/12/2019,2.5,1,,,,1,234564815,33409505,Hand,230806,6,1756,1449150,825,26,15,13,1144917,79.01,0.2015919058,
406,Ravi Shankar Prasad,Elected,5/23/2019,In office,1,Bihar,Patna Sahib,Bharatiya Janata Party,Male,Post Graduate,"B.A.Hons., M.A. (Pol.Science), LL.B.; Educated at Patna University",65,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,,,,,,,,,,,,0,235275591,0,Lotus,284657,6,2007,2146008,1069,37,18,16,982939,45.8,0.2895978286,
484,Ramesh Chander Kaushik,Elected,5/23/2019,In office,2,Haryana,Sonipat,Bharatiya Janata Party,Male,Graduate Professional,"B.A., LL.B.",63,4,0,73,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.9,0,25,0.94,Lok Sabha,17th Lok Sabha,2.5,0.92,2.41,2,2019-2020,23-03-2020,2.5,,,,,0,235859266,0,Lotus,164864,9,1771,1592611,899,36,29,27,1131146,71.02,0.1457495319,
389,Manoj Tiwari,Elected,5/23/2019,In office,2,Delhi,North East Delhi,Bharatiya Janata Party,Male,Post Graduate,"I.Sc., B.A. (History), B.P.Ed., M.P.Ed.",49,9,0,74,0.8,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.8,49,0.83,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,2,1997-98,,,3,242817031,13618755,Lotus,366102,10,2147,2290492,1067,60,24,22,1462767,63.86,0.2502804616,
332,Anumula Revanth Reddy,Elected,5/23/2019,In office,1,Telangana,Malkajgiri,Indian National Congress,Male,Graduate,"B.A. Educated at A.V. College, Osmania University, Hyderabad, Telangana",52,9,0,22,0.62,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/10/2019,2.5,1,,,,42,245357182,27807304,Hand,10919,7,2960,3150313,1064,40,12,9,1563646,49.63,0.00698303836,
414,Sangam Lal Gupta,Elected,5/23/2019,In office,1,Uttar Pradesh,Pratapgarh,Bharatiya Janata Party,Male,8th Pass,Information Not Available,48,15,0,38,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,,,,2,248789514,8895225,Lotus,117752,5,1892,1708759,903,25,8,6,915259,53.56,0.1286542935,
317,Bholanath (B.P. Saroj),Elected,5/23/2019,In office,1,Uttar Pradesh,Machhlishahr,Bharatiya Janata Party,Male,Graduate,Information Not Available,59,4,0,0,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,0,259027394,11194163,Lotus,181,5,1935,1848306,955,18,15,13,1035410,56.02,0.0001748099787,
392,Magunta Srinivasulu Reddy,Elected,5/23/2019,In office,4,Andhra Pradesh,Ongole,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"B.Com; Educated at V.R. College, Nellore, Andhra Pradesh",66,5,0,59,0.73,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,-0.03,1.83,1,2019-2020,22-10-2019,2.5,1,2018-19,,,0,266583686,91302133,Ceiling Fan,214851,7,1931,1556469,806,17,13,11,1344003,86.35,0.1598590182,
452,Nitesh Ganga Deb,Elected,5/23/2019,In office,1,Odisha,Sambalpur,Bharatiya Janata Party,Male,12th Pass,Information Not Available,47,9,0,28,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-11-2019,2.5,1,1997-98,,,1,269543587,10337195,Lotus,9162,7,1756,1468530,836,12,11,9,1126662,76.72,0.008131986346,
330,Abu Hasem Khan Choudhury,Elected,5/23/2019,In office,4,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Doctorate,"Graduate (Degree in Industrial Psychology)
Educated at Northampton College of Technology, England and University of Guleph, Ontario, Canada",82,3,0,5,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,1997-98,,,0,270959520,728107,Hand,8222,7,1616,1575590,975,12,10,7,1279977,81.24,0.006423552923,
377,Heena Vaijaykumar Gavit,Elected,5/23/2019,In office,2,Maharashtra,Nandurbar,Bharatiya Janata Party,Female,Post Graduate,"M.B.B.S., M.D.",32,19,0,159,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,1,2019-20,,,0,271634532,15291251,Lotus,95629,6,2115,1871099,885,14,11,9,1284546,68.65,0.07444575749,
313,Sudhakar Tukaram Shrangre,Elected,5/23/2019,In office,1,Maharashtra,Latur,Bharatiya Janata Party,Male,10th Pass,Information Not Available,57,16,3,122,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-12-2019,2.5,1,2019-20,,,0,286478302,100250602,Lotus,289111,6,2075,1886657,909,15,10,8,1178089,62.44,0.2454067562,
363,Ajay Nishad,Elected,5/23/2019,In office,2,Bihar,Muzaffarpur,Bharatiya Janata Party,Male,Graduate,Graduate,53,10,0,58,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,0.54,0.54,1,2019-2020,22-10-2019,2.5,1,2019-20,,,1,298867486,15714320,Lotus,409988,6,1748,1730553,990,37,22,20,1058507,61.17,0.387326678,
504,Kanimozhi Karunanidhi,Elected,5/23/2019,In office,1,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,Female,Graduate Professional,M.A. ( Economics),52,35,2,38,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,2,,,,6,303373130,19290928,Rising Sun,347209,6,1595,1427783,895,48,37,35,991967,69.48,0.3500207164,
17,Ritesh Pandey,Elected,5/23/2019,In office,1,Uttar Pradesh,Ambedkar Nagar,Bahujan Samaj Party,Male,Graduate,Information Not Available,38,41,0,59,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.5,4.95,2,2019-2020,6/3/2020,2.5,2,2017-18,,,1,307265103,24739098,Elephant,95880,5,2062,1785657,866,20,11,9,1090615,61.08,0.08791370007,
187,Adhikari Deepak (Dev),Elected,5/23/2019,In office,2,West Bengal,Ghatal,All India Trinamool Congress,Male,Others,Computer Engineer,37,1,0,17,0.17,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,,,,0,317320579,7879681,Flowers and Grass,107973,7,2074,1800002,868,7,7,5,1489338,82.74,0.07249731089,
307,Sanjeev Kumar Ayushman,Elected,5/23/2019,In office,1,Andhra Pradesh,Kurnool,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,Information Not Available,53,1,0,14,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,1.27,2.51,1,2019-2020,6/9/2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,325914387,62070621,Ceiling Fan,149067,7,1843,1573009,854,17,16,14,1190672,75.69,0.1251956878,
466,Rama Devi,Elected,5/23/2019,In office,4,Bihar,Sheohar,Bharatiya Janata Party,Female,Graduate Professional,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",70,29,4,89,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,,,,1,328364940,0,Lotus,340360,6,1670,1686215,1010,26,18,16,1004927,59.6,0.3386912681,
528,Veena Devi,Elected,5/23/2019,In office,1,Bihar,Vaishali,Lok Jan Shakti Party,Female,10th Pass,Information Not Available,52,3,0,14,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,,,,2,337284632,112089220,Bungalow,234584,6,1803,1735983,963,36,22,20,1074751,61.91,0.2182682314,
129,Annasaheb Shankar Jolle,Elected,5/23/2019,In office,1,Karnataka,Chikkodi,Bharatiya Janata Party,Male,12th Pass,"PUC IInd Year, Educated at Sainik School Bijapur (Vijaypur), Karnataka",56,3,0,49,0.71,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,2,2019-20,,,0,344922831,195595693,Lotus,118877,8,1885,1612556,855,13,11,9,1219483,75.62,0.09748147371,
503,Shashi Tharoor,Elected,5/23/2019,In office,3,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",63,41,4,82,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,2,,,,2,350022585,0,Hand,99989,7,1305,1371427,1051,20,17,14,1011268,73.74,0.09887487788,
413,Rameshbhai Lavjibhai Dhaduk,Elected,5/23/2019,In office,1,Gujarat,Porbandar,Bharatiya Janata Party,Male,10th Pass,Information Not Available,57,4,0,27,0.65,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-10-2019,2.5,2,1997-98,,,0,357564783,217944697,Lotus,229823,7,1854,1662368,897,20,17,15,951107,57.21,0.2416373762,
386,Meenakashi Lekhi,Elected,5/23/2019,In office,2,Delhi,New Delhi,Bharatiya Janata Party,Female,Graduate Professional,"B.Sc. (Hons), LL.B. Educated at Hindu College",52,31,0,79,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.8,49,0.83,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Under Process.,Under Process.,0,361441689,7938378,Lotus,256504,10,1627,1617470,994,52,27,25,920567,56.91,0.2786369705,
434,K. Navaskani,Elected,5/23/2019,In office,1,Tamil Nadu,Ramanthapuram,Indian Union Muslim League,Male,12th Pass,Senior Secondary,40,19,2,55,0.71,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-12-2019,2.5,2,1997-98,,,1,364738171,47008615,Ladder,127122,6,1916,1559740,814,37,23,21,1066923,68.4,0.1191482422,
83,Suresh Channabasappa Angadi,Elected,5/23/2019,In office,4,Karnataka,Belgaum,Bharatiya Janata Party,Male,Graduate Professional,"B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",64,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-11-2019,2.5,1,2019-20,,,0,366164525,198479638,Lotus,391304,8,2064,1779350,862,66,57,55,1207142,67.84,0.3241573899,
240,Khalilur Rahaman,Elected,5/23/2019,In office,1,West Bengal,Jangipur,All India Trinamool Congress,Male,Graduate,Information Not Available,Information not available,7,0,0,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,2,2018-19,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",0,368306705,2248968,Flowers and Grass,245782,7,1762,1616213,917,11,11,8,1304629,80.72,0.1883922556,
172,Krishan Pal,Elected,5/23/2019,In office,2,Haryana,Faridabad,Bharatiya Janata Party,Male,Graduate Professional,B.A. LL.B.,63,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,,,,0,369652786,105593242,Lotus,638239,9,2043,2071816,1014,30,27,25,1328127,64.1,0.4805556999,
244,Dushyant Singh,Elected,5/23/2019,In office,4,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,Male,Post Graduate,"B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",46,31,0,32,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,1,1997-98,,,0,370432373,85824156,Lotus,453928,8,2187,1903870,871,11,7,5,1370017,71.96,0.3313301952,
325,Janardan Singh Sigriwal,Elected,5/23/2019,In office,2,Bihar,Maharajganj,Bharatiya Janata Party,Male,12th Pass,M.A.,61,30,4,71,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,,,,5,371827109,4483048,Lotus,230772,6,1848,1807768,978,16,11,9,972989,53.82,0.2371784265,
44,Akhilesh Yadav,Elected,5/23/2019,In office,4,Uttar Pradesh,Azamgarh,Samajwadi Party,Male,Graduate Professional,"B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",46,2,0,0,0.33,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,1,,,,0,377859166,2853000,Bicycle,259874,5,1987,1789168,900,23,15,13,1029796,57.56,0.2523548353,
108,Sangeeta Kumari Singh Deo,Elected,5/23/2019,In office,4,Odisha,Bolangir,Bharatiya Janata Party,Female,Graduate,Information Not Available,58,9,0,70,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-11-2019,2.5,1,,,,0,379590851,7500000,Lotus,19516,7,2140,1744446,815,8,8,5,1306744,74.91,0.01493483039,
146,Gowdar Mallikarjunappa Siddeswara,Elected,5/23/2019,In office,4,Karnataka,Davanagere,Bharatiya Janata Party,Male,10th Pass,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",67,11,0,86,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-11-2019,2.5,1,,,,0,380164932,14670809,Lotus,169702,8,1949,1633064,838,28,25,23,1195225,73.19,0.1419833086,
169,Rajveer Singh (Raju Bhaiya),Elected,5/23/2019,In office,2,Uttar Pradesh,Etah,Bharatiya Janata Party,Male,Graduate Professional,"B.A., LL.B.",60,4,0,0,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-11-2019,2.5,1,,,,0,383629735,100220000,Lotus,122670,5,1998,1621295,811,17,14,12,1000352,61.7,0.1226268354,
398,P.P. Chaudhary,Elected,5/23/2019,In office,2,Rajasthan,Pali,Bharatiya Janata Party,Male,Graduate Professional,"B.Sc., L.L.B, studied at Jai Narayan Vyas University, Jodhpur (Rajasthan)",66,24,4,98,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,1,,,,0,385111923,7278041,Lotus,481597,8,2236,2161663,967,14,8,6,1361515,62.98,0.3537214059,
181,Amit Anil Chandra Shah,Elected,5/23/2019,In office,1,Gujarat,Gandhinagar,Bharatiya Janata Party,Male,12th Pass,B.Sc. (Iind Year) Educated at Gujarat University,55,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,13-11-2019,2.5,1,1997-98,,,4,403275307,4769587,Lotus,557014,7,1975,1945772,985,45,17,15,1285826,66.08,0.4331954712,
